Entry,start,end,sequence_sha256
Q05354,0,126,a5422fd3151831fbdb80daaf6c7e9ceac114bb0c86a8d1cc11876d12fdafb632
Q99316,0,277,962183b7c4e1fae228df7e644f2afe3b9cb8659dade9129594483c35474a1f5f
Q79FW5,0,584,cfe4919e06beafc030642a5cd8bdb0ff58ebb03ba9ac6b671449d811ae5094ec
E3PY96,0,121,6df7678e183d9ec2b1a26147071b5d3f9bd53e5ff466f097d30faa427ad89b38
O74038,0,434,c3cbb827837bdacda81e08292f52d2292f04391f6eac1d5b919dbf227b176de5
E3PY95,0,740,1a5fd63214f54ce2e92ef441a773b6307716b26a7803b1b21686d8dab1d87392
O52214,0,135,9805308f36f89d11e55133c927da6bec8e16545a2091af65e6cd4cd9d3054f7e
O52216,0,164,49bddf7b2e2395d45d654164691f9aca17a9621515052f85eb0e6ad58db49497
Q609C2,0,224,91eb2c82d79d732d7a95c94a357b8b6e646154555cb29ffbb6a1aab4f756e50c
A0A2U7XUH7,0,214,d7782f8cec236608f7dabd434a6339e0a15dcfe4559d245d4bf28797bdcbae85
Q54KQ7,0,655,6bb24e61d39ad8179b83c5e7b809a8f509a6686d7190d70cb2e3850a1f8de1b9
P34808,0,472,f4caf1e9d0f257bef2ef60032b40f28727145e62bd54b6c672dd2c7ec8fc96c7
Q9FT74,0,606,deb7afd320a00d18814e8bdd6d9c7e7a244fed4b91cd1d29f86c4b7edc6243db
Q9FT69,0,858,10dd1d198066a7bf96e51834af31df5ab2bef2749ac9ae01977729101f7437a9
Q23122,0,793,b0fae5141a161dfecdb9ae17a772524d14ac736db8ff1e17e5f5795f35382f63
Q9X895,0,580,f745c2d0db7395d223e8cdf973758b4ca3b892db9f2f2866c1fbe34fc3c39d68
Q8VYJ1,0,560,e8eb66461207de7cd8bde825826d87f7950b0b4cad09b5b392801e201d85f160
P19409,0,520,cb5910d71835f33865458bd2ea6ab0b4b9a67f0e2b22c81a4395a7a1f4cae43a
P0C7B6,0,521,ff1501302fc3b086b521babc917808d30d075f5c1d5ed0ee83c52178a3b9e1b8
O13629,0,363,c628e3f70e67a5b8fbcae0814dab6d8ec18ad0ac987c385a0952e9447cbdd5f4
Q86B00,0,499,f67663280b5bfc8ff1d6f75a1f7b05d21c37a1f63bf52c25905314c3cd379b53
P38254,0,753,73680062dbc53026af627686359b9981a93ee93855aed7f5ef85c91a0ef8e8ea
Q8L539,0,277,cffcbd78d6cc2b7788ae8491194bcad5b33bae95614c33b7cb2460817728cafa
Q9T390,0,367,2000d50a2e5d99e3fc67ed9a0918bda904664924d250e123ff663e2c7997726e
A5UK38,0,367,56ad2e48d61bd582a2ebf004cd2ac872dbd1bcca02c570b152f545aa272c0074
Q7UNE1,0,397,a36e11e0562dd6a72fe0b84bbd8186a88bda02f59b101227c256bbd7b2b0dc7a
Q58456,0,515,61789cdef8010854abcf7e5f082466817cbe1ce6acd09bef37b2df847d21dcd3
Q8RM02,0,168,ec2b9f7beb6f0c9a82d0e33ebbf97a58245ef98d27545c773917a6e53313e9d4
Q5P5G6,0,303,25955e1946b470df26e392f0d5271fb226227e12b5752df83b91a63e79d72902
Q57706,0,404,1ea4b59d620aa3a3425da02f27afdd6096d1d28cadfdf2879bb21081f479cff7
P29933,0,332,193ef0486cc098e46fb07ecd2ceb522f9834f77dca0b5c112fbfe24434fc7721
P29934,0,631,1ac7782d71aca3164e1476caeea58cba80f8eb9877fc007e247e6e5563b93654
P26174,0,284,8be556b10afd9250154a4fd76293627d5fa2964c6edde590cd1267be1ee756dc
P19968,0,201,946cf0795ef4d9987efd6aec6386326c8818e10adbc56b03f19183cb0ce34c75
Q02854,0,189,ddef1db5532aa557a19737b91918e431d2180a9f31b538ddce5e1cbd3aca5d5e
B1AIC1,0,799,40184570eb9cba324562800784ba208afec35b5cff6be2a90f310a6b08235893
H6LC30,0,207,e30bb67a0ae31f28149415b81d241e90c17ebb15c65edd8c254e4155a6620084
H6LC27,0,333,7cfaa20e1b6d2329a5e58d00a6c5e79ef36304d5bae69de016e6cd1e13664062
H6LC32,0,443,ee820fffe18fa365ad62004610fca843f6191618d0cef66312b7c3c214b894fd
P46904,0,386,f50c11b57e35dd9e59a07d2c58c2d39a3beded7e093629e295deccae2a1de4c4
Q56724,0,115,47619a2f1ed4e4371353f613e26aa6bd28d8c1f90516a5abcee37d8074ed023b
Q06700,0,587,2994c72d4533191c01b38885da75ad1807ebdf54aa98587810b93e1a7f7f5dcf
Q2IN45,0,498,4ac171a8c2af49a455fdfc47dec6c44379483809ea54be4cf8e83d7cd2d05f10
Q57399,0,253,60352c763f54e490edfe33d6819578e72e3cc03a1637ad5ec01e0fd92499e7b2
Q0P887,0,331,53a9c1ef379772ba79500e521fb74adb4d8350d3ba9981835d4bf05f31e88402
P31742,0,567,6eb62d752564e3112496ad7c755f0f9d9909ff209bd158f1f14eb55b5af0ed94
Q7VSX3,0,339,fa6c8d668bc0b26de89bb5235bd342029413d66604a20dc5dfaf0454a0fc3b4f
O21280,0,222,24eb7547143e2410d60a55d9c480f53d545bc3f83d623c0a485a815c85987c23
B0R5G4,0,398,59bed43348751efd41153392c75da7a48e4001909057c00f45b4f2e7d93069c7
Q57I19,0,336,50c62031114f8fdce87b78cbcf7361e26ea12a54105687e7e885f0d24a3fd356
